2015,20
2016,19
thousand,422
pieces,69
silver,151
reproved.,3
2017,19
prayed,45
healed,51
"abimelech,",12
maidservants;,1
children.,38
2018,19
fast,59
wombs,2
visited,21
"age,",14
isaac.,9
laugh,12
suck,14
"grew,",12
weaned,10
feast,99
weaned.,1
mocking.,1
2110,24
cast,497
bondwoman,6
heir,12
2111,24
sight,223
2112,24
"lad,",10
bondwoman;,1
called.,8
2113,24
2114,23
bottle,13
putting,17
"shoulder,",13
away,667
wandered,9
wilderness,149
beersheba.,8
2115,22
spent,12
"bottle,",2
shrubs.,1
2116,21
"went,",51
"off,",66
shot,15
death,163
"voice,",120
wept.,15
2117,21
lad;,2
aileth,7
lad,21
is.,17
2118,20
2119,20
water;,24
drink.,34
2120,20
archer.,1
2121,19
paran,3
egypt.,95
2122,19
"time,",108
phichol,3
chief,259
captain,125
2123,18
swear,45
falsely,10
sojourned.,2
2124,17
swear.,5
2125,16
reproved,7
abimelech’s,2
violently,10
2126,14
wot,10
thing;,15
2127,13
sheep,85
abimelech;,2
2128,12
ewe,6
lambs,56
themselves.,32
2129,12
mean,19
2130,11
witness,101
digged,30
well.,24
2131,10
beersheba;,2
sware,71
2132,9
beersheba,11
"host,",44
philistines.,27
2133,8
grove,10
"beersheba,",13
2134,8
philistines’,4
tempt,14
am.,10
"lovest,",1
moriah;,1
offer,233
of.,7
saddled,8
"ass,",35
clave,14
wood,66
"offering,",194
afar,48
off.,40
ass;,4
